ID,NameProduct,Price,StrPrice,Type,Title,Description,Details1,Details2,Details3,Details4,Details5,Details6,Details7,Details8,Details9,Details10
21,ARKNIGHTS | 2ND ANNIVERSARY VACATION KIT,2779,"2,779",Merchandise,Etc.,"Arknights 2nd Anniversary Dossoles Holiday: Themed Commemoration Box, coming with unique anniversary items packed in an exquisite carrying case. Box Contents: Dossoles Holiday Laser Travel Vouchers, Dossoles Holiday Invitation Letter, Arknights 2nd Anniversary Artbook, Arknights Animation Artworks, Character Pin Set, Dossoles S.P.A. Boutique Stickers, Vacation Towel",Product Details:,Type: Arknights 2nd Anniversary Vacation Kit,Size: 33.5x26x6 cm / 13.2x10.2x2.4 in,,,,,,,
22,Arknights Ch'en (SuiHongXia Ver.) 1/7 Scale Figure,8369,"8,369",Merchandise,Figure,"From the very popular smartphone game ""Arknights"", Ch'en, the chief of the Special Inspection Unit, appears in a special outfit! Wearing a special cheongsam with her long hair tied and a dignified expression, Ch'en sits on a high stool. With a floral pattern on the translucent hem, the branch pattern at the waist shines gold against the brilliant and graceful crimson dress where not a single detail is omitted. The blue dragon flying in the background also displays immense detail, with a gradient color pattern and each scale meticulously painted. In addition, the combination of wax plum and stone pattern folding screens inserted into vases on the desk reproduces a unique atmosphere.",Product Details:,Approx. 8.26 inches tall (20.98cm),Figure 1/7 Scale,Made of plastic,,,,,,
23,Arknights Nendoroid No.1679 Thorns,2629,"2,629",Merchandise,Figure,"He comes with three face plates including a standard expression, a yawning expression, and a serious expression. Optional parts include a standard version of his weapon and a Destreza version of his weapon. He also comes with his bag and drugs as optional parts. Not only can Thorns' skills be recreated in Nendoroid form, but his Elite 2 appearance can be recreated as well!",Product Details:,3.94 inches (10cm),Nendoroid,Made of ABS and PVC,,,,,,
24,Arknights Skadi (Promotion Elite 2 Ver.) 1/7 Scale Figure,6469,"6,469",Merchandise,Figure,"From the Arknights video game comes a 1/7 scale figure of Operator Skadi. Skadi's red eyes shine while she holds a giant sword, able to churn the seas, with a spiral wave surrounding her.",Product Details:,9.05 inches (23cm),Figure 1/7 Scale,Made of plastic,,,,,,
25,Arknights Alloy Industry Series Castle-3 SUM019 Ver. Figure,4189,"4,189",Merchandise,Figure,From Planet Ring Industry comes an alloy figure of the Castle-3 from Arknights. The figure joins the Alloy Industry Series and measures over 3 inches tall.,Product Details:,3.7 inches (9.4cm),"Made of PVC, ABS, and alloy",,,,,,,
26,AZUR LANE | PLUSHIE | LAFFEY,1699,"1,699",Merchandise,Doll,LAFFEY Doll from AZUR LANE,Product Details:,Size：Sitting Height 27.5 cm (10.8 inches),"Material：Polyester Fibers, Cotton Filling",,,,,,,
27,AZUR LANE | PLUSHIE | AMAGI,1699,"1,699",Merchandise,Doll,AMAGI Doll from AZUR LANE,Product Details:,Size：Sitting Height 25 cm (9.8 inches),"Material：Polyester Fibers, Cotton Filling",,,,,,,
28,AZUR LANE | PLUSHIE | BISMARCK | 2ND ANNIV,1699,"1,699",Merchandise,Doll,BISMARCK Doll from AZUR LANE,Product Details:,Size：Sitting Height 25 cm (11 inches),"Material：Polyester Fibers, Cotton Filling",,,,,,,
29,AZUR LANE | 2ND ANNIVERSARY PIN | 2ND ANNIV,309,309,Merchandise,Etc.,2ND ANNIVERSARY PIN,Product Details:,Size: 5.2 x 3.1 cm (2 x 1.2 inches),Material: Zinc Alloy,,,,,,,
30,AZUR LANE | PLUSHIE | TOSA,1699,"1,699",Merchandise,Doll,TOSA Doll from AZUR LANE,Product Details:,Size：Sitting Height 25 cm (9.8 inches),"Material：Polyester Fibers, Cotton Filling",,,,,,,
31,AZUR LANE | MUG | OIL TANK | 2ND ANNIV,949,949,Merchandise,Glass,Glass OIL TANK,Product Details:,Size: 8.5 x 10 cm (3.3 x 3.9 inches),Material: Porcelain,,,,,,,
32,AZUR LANE | 3RD ANNIVERSARY ILLUSTRATION COLLECTION,1889,"1,889",Merchandise,Etc.,The exclusive collection includes: Special Illustrations and Celebration Artworks.,Product Details:,Size: 28.5x21 cm / 11.2x8.3 in,"Material: Paper, PVC",,,,,,,
